GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: index-service,org.opencastproject.index.service.api,IndexService.SourceType,0,27,0,0,0,2,0,1,0,1
Opencast :: index-service,org.opencastproject.index.service.api,IndexService.EventRemovalResult,27,0,0,0,2,0,1,0,1,0
Opencast :: index-service,org.opencastproject.index.service.api,IndexService.Source,0,21,0,0,0,2,0,1,0,1
Opencast :: index-service,org.opencastproject.index.service.impl,IndexServiceImpl,3198,1411,358,102,686,323,251,68,42,41
Opencast :: index-service,org.opencastproject.index.service.util,JSONUtils,286,215,48,20,60,43,32,14,6,6
Opencast :: index-service,org.opencastproject.index.service.util,CatalogAdapterUtil,24,0,0,0,8,0,1,0,1,0
Opencast :: index-service,org.opencastproject.index.service.util,RequestUtils,224,0,38,0,44,0,22,0,3,0
Opencast :: index-service,org.opencastproject.index.service.util,RestUtils,260,32,17,3,64,9,19,4,10,3
Opencast :: index-service,org.opencastproject.index.service.impl.util,RetractionListener,180,0,14,0,37,0,11,0,4,0
Opencast :: index-service,org.opencastproject.index.service.impl.util,Retraction,23,0,0,0,10,0,5,0,5,0
Opencast :: index-service,org.opencastproject.index.service.impl.util,EventHttpServletRequest,899,65,96,0,195,23,57,12,9,12
Opencast :: index-service,org.opencastproject.index.service.impl.util,EventUtils,278,0,42,0,59,0,26,0,5,0
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter.series,ConfigurableSeriesDCCatalogUIAdapter,160,7,6,0,39,2,11,2,8,2
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter.series,CommonSeriesCatalogUIAdapter,51,11,0,0,19,4,2,4,2,4
Opencast :: index-service,org.opencastproject.index.service.exception,IndexServiceException,9,0,0,0,4,0,2,0,2,0
Opencast :: index-service,org.opencastproject.index.service.exception,UnsupportedAssetException,4,0,0,0,2,0,1,0,1,0
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter.events,CommonEventCatalogUIAdapter,59,151,14,22,10,33,12,12,0,6
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter.events,ConfigurableEventDCCatalogUIAdapter,6,129,0,2,2,31,0,8,0,7
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter,MetadataUtils,0,46,3,7,0,11,3,3,0,1
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter,CatalogUIAdapterFactory,167,125,15,6,39,30,16,5,5,5
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter,DublinCoreMetadataUtil,110,525,28,60,28,110,23,36,1,14
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter,ConfigurableDCCatalogUIAdapter,85,264,9,19,22,58,11,19,4,12
Opencast :: index-service,org.opencastproject.index.service.catalog.adapter,CatalogUIAdapterConfiguration,36,157,4,14,3,36,4,13,0,8
