GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: userdirectory,org.opencastproject.userdirectory.endpoint,UserEndpoint.UserData,3,0,0,0,1,0,1,0,1,0
Opencast :: userdirectory,org.opencastproject.userdirectory.endpoint,UserEndpoint,516,0,26,0,111,0,28,0,15,0
Opencast :: userdirectory,org.opencastproject.userdirectory.endpoint,GroupRoleEndpoint,126,38,4,0,31,13,5,6,3,6
Opencast :: userdirectory,org.opencastproject.userdirectory.endpoint,UserEndpoint.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: userdirectory,org.opencastproject.userdirectory,CustomRoleProvider,24,170,8,12,7,41,10,10,2,8
Opencast :: userdirectory,org.opencastproject.userdirectory,UserIdRoleProvider,273,0,24,0,68,0,24,0,12,0
Opencast :: userdirectory,org.opencastproject.userdirectory,JpaGroupRoleProvider,507,578,54,44,108,119,48,33,14,18
Opencast :: userdirectory,org.opencastproject.userdirectory,ConflictException,16,4,0,0,6,2,3,1,3,1
Opencast :: userdirectory,org.opencastproject.userdirectory,JpaUserAndRoleProvider.new CacheLoader() {...},1,36,1,1,0,5,1,2,0,2
Opencast :: userdirectory,org.opencastproject.userdirectory,OrganizationRoleProvider,167,0,24,0,43,0,20,0,8,0
Opencast :: userdirectory,org.opencastproject.userdirectory,JpaUserAndRoleProvider,129,520,11,29,28,118,19,34,8,25
Opencast :: userdirectory,org.opencastproject.userdirectory,UserAndRoleDirectoryServiceImpl,489,561,71,49,99,115,53,26,6,13
Opencast :: userdirectory,org.opencastproject.userdirectory,RoleEndpoint,46,0,2,0,13,0,6,0,5,0
Opencast :: userdirectory,org.opencastproject.userdirectory,JpaUserReferenceProvider,673,0,32,0,147,0,58,0,42,0
Opencast :: userdirectory,org.opencastproject.userdirectory,JpaUserReferenceProvider.new CacheLoader() {...},37,0,2,0,5,0,3,0,2,0
Opencast :: userdirectory,org.opencastproject.userdirectory,UserDirectoryPersistenceUtil,531,306,25,9,94,63,30,23,17,19
Opencast :: userdirectory,org.opencastproject.userdirectory,UserAndRoleDirectoryServiceImpl.new CacheLoader() {...},4,15,1,1,0,3,1,2,0,2
Opencast :: userdirectory,org.opencastproject.userdirectory,UserEndpoint,79,0,10,0,21,0,11,0,6,0
Opencast :: userdirectory,org.opencastproject.userdirectory,InMemoryUserAndRoleProvider,548,0,48,0,113,0,50,0,26,0
Opencast :: userdirectory,org.opencastproject.userdirectory,AdminUserAndGroupLoader,424,0,28,0,91,0,28,0,14,0
Opencast :: userdirectory,org.opencastproject.userdirectory.utils,UserDirectoryUtils,2,51,2,12,1,11,2,6,0,1
